Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:485649,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:485649,Course,2018-04-02 04:55 UTC,N/A,true,N/A,
SAS® 9.4 Cert Prep: Part 10 Manipulating Data with Functions,"Want to get ahead in a crowded job market? Get certified with SAS. This course is part of a series by the SAS Institute, designed to prepare you for the SAS 9.4 certification exam. Here you can explore techniques for transforming data into useable formats with SAS functions. Instructor Stacey Syphus explains how to use functions to modify numeric, date, and character data, and change one data type to another.<br><br>This course was created by <a href=""https://www.sas.com/en_us/certification.html"" target=""_blank"">SAS Institute</a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAGYTN9saUg16QN-ciMrxZ6dnCg.jpg"" height=""50%"" width=""50%"">",Course,2022-02-02 15:15 UTC,2022-02-02 15:14 UTC,true,N/A,
Building a Note-Taking App for Android,"Android, Windows, and iOS support are all required for a successful product. This course, revised for 2015, is one in a series that will demonstrate the platforms' similarities and differences via the development of a complete note-taking app. This installment uses Android Studio to get the job done. Author David Gassner shows you how to create a new project in Android Studio, customize its material design themes, and create a data management layer that allows users to create, read, update, and delete notes.  He also demonstrates how to build a rich user interface, create activities (aka screens), and enable action icons to control navigation.<br><br>
<em>Building a Note-Taking App for iOS 8</em> and <em>Building a Note-Taking App for Windows Phone 8 and Windows Store</em> use the same assets to develop a similar app. Compare and contrast the steps and discover the similarities and differences between the three platforms.",Course,2018-07-26 01:31 UTC,N/A,false,N/A,
Cybersecurity with Cloud Computing (2015),"How do you keep your organization's files, applications, and accounts safe on the cloud?  It starts with a considered design approach. In these videos, Malcolm Shore outlines the major cloud security risks, some of which have resulted in service disruptions at companies like Azure, Dropbox, Google, and Amazon, and shows how to plan for and minimize risk when it comes to your own cloud deployments. He introduces concepts such as software as a service (SaaS) and infrastructure as a service, and the differences between public and private clouds. Then, after reviewing the cloud security best practices from the Cloud Security Alliance and the European Network and Information Security Agency (ENISA), Malcolm shows how to use SABSA, a popular security requirements mapping approach, to figure out the business requirements for a successful and secure cloud deployment of your own.",Course,N/A,N/A,true,N/A,
Easy PHP Projects: Single-Serving Sites,"Sometimes simple websites are more effective than complex ones. In this course, discover the beauty and power of single-serving sites. <em>Easy PHP Projects</em> is a series of small-scale PHP projects targeted at PHP beginners as well as experienced developers looking to practice their skills. Each of the projects in this installment results in a stand-alone, single-page website. Kevin Skoglund shows how to determine a user's IP address and browser details, parse and compare dates, generate dynamic page styles, and create sentences from randomized fragments.",Course,N/A,N/A,true,N/A,
Power BI Data Modeling with DAX (2022),"Power BI Desktop makes it easy to create basic data models. But if you need to report across time periods—for example, visualize year-over-year growth or compare sales or other data by month or quarter—you need Data Analysis Expressions (DAX). DAX is a language you can use to create formulas for Power BI that extend your data model. In this course, Gini von Courter covers the essentials of working with DAX, sharing best practices for data model design and optimization along the way. Learn how to work with DAX aggregate functions, add calculated columns, create measures, and work with DAX logical and filter functions.",Course,2021-08-11 13:43 UTC,N/A,false,N/A,
Isotope.js: Advanced Filtering,"Isotope.js is a simple tool that helps you create advanced tile-based layouts and enable dynamic sorting and filtering of content right in the browser. You may have <a href=""http://isotope.metafizzy.co/#isotope-in-use"" target=""_blank"">seen it used</a> in interactive features for the <em>New York Times</em>, on NASA's front page, and in other websites featuring tiled galleries. This course shows not only how Isotope works but also how to integrate it with WordPress and other content management systems for super advanced functionality. Follow along with instructor Morten Rand-Hendriksen and find out how to bypass common implementation issues, configure layout modes, supercharge Isotope.js with extra features, make seamless user experiences with advanced URL hashes, and more. Take the time to learn Isotope today and take a lot of the grunt work out of your JavaScript development tomorrow.",Course,N/A,N/A,true,N/A,
Writing Email (2014),"Discover the secrets to writing  powerful emails your colleagues will read and answer by crafting your message and delivery.  In this short course, author and business writing professor Judy Steiner-Williams shows you how to write emails for maximum readability and impact. Discover how to craft a compelling opening, how to message the right people at the right time, and how to leverage etiquette to use email as one of many communications tools.",Course,2018-06-02 13:44 UTC,N/A,false,N/A,
Learning Data Analytics: 1 Foundations,"<p>Are you interested in pursuing a career in data analytics? In this course, instructor Robin Hunt brings you into the mind of an analyst. She defines and explains foundational concepts, such as how to think about data, how to work with others in different roles to get the data you need, and the tools you need to work with data, such as Excel and Microsoft Access. She introduces you to SQL queries, PowerBI, and more. Robin goes into syntax and explains how to interpret the data you see, find the data you need, and clean the data for effective data work. She explains data governance and how to ask the right questions of different departments to gather the data you need. Robin shows how to work with data, including how to import data, work with flat files such as CSVs, and create datasets for others. Robin goes into what cleaning and modeling mean, as well as how to use Power Query in Excel. She has also added challenge/solution sets in each chapter to help you evaluate your skills. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2021-06-23 03:40 UTC,N/A,false,N/A,
SQL: Data Reporting and Analysis,"Do you rely on IT to get the data you need? Are you often stuck waiting in line for data, and wish you could just retrieve it yourself? In this course, learn how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database, you'll be able to manipulate it—merging it, grouping it, and relabeling it to get just the report you want. Join Emma Saunders as she shows how to write simple SQL queries for data reporting and analysis using a publicly accessible online database. Learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, she introduces views, procedures, functions, and variables.",Course,2022-11-27 09:51 UTC,N/A,false,N/A,
Learning the Nik Collection,"Learn the basic techniques for working with the affordable, easy-to-use Nik Collection, a group of photo enhancement plugins from Google. This course provides a great way to get up to speed quickly with the full Nik Collection, including workflows for integrating the plugins with your Lightroom and Photoshop workflows. Tim Grey touches on interface options, presets, loupe and histogram behavior, preview options, and other features that are common to all the programs in the collection: Analog Efex Pro, Color Efex Pro, Silver Efex Pro 2, HDR Efex Pro, Sharpener Pro, Viveza, and Dfine.<br><br>

This course was created by Tim Grey. We are honored to host this training in our library.",Course,2020-04-23 07:49 UTC,N/A,false,N/A,
