Title,Description,Url,Started On,Finished On
PMiCAM,A Web based java application working on corba architecture and oracle as database.,,Apr 2015,Apr 2019
Oxygen,"A desktop application which uses java programming ,hibernate as technology, oracle as database and in house application.",,Feb 2015,Feb 2020
WISE TV," Sambhaav Media Group will invest $ 10 million in developing the first Digital Live Transit-TV Broadcasting infrastructure in India. The channel will be called “WISE” Wireless, Interactive, Smart , Entertainment Channel. By adopting international broadcasting standard infrastructure, Sambhaav Media will be capable of delivering live video and voice across the transit industry such as the bus network, Metros, railways, Internet and even on mobile phones.  Sambhaav Media in the first phase will be extending the Transit-TV network to Gujarat State Roadways and has bagged 10 years contract to with GSRTC (Gujarat State Road Transport Corporation) to carry Live TV in 8000 busses.  The screens will operational in 3500 busses in Gujarat by 1st January 2012. ",http://www.wisetv.co.in/,Feb 2008,Feb 2015
I-SPY,"I-SPY is an intelligent software to track the user record. It records the whole data in file. I-SPY with fully customized solution on user end which manage user information such as data typed, free time etc.",http://www.i-spy.in/,Jan 2013,Dec 2014
Track With Us (Desktop),"GPS stands for Global Positioning System, and is a way of locating a receiver in three dimensional spaces anywhere on the Earth, and even in orbit about it. The Global Positioning System (GPS) is a worldwide radio-navigation system formed from a constellation of 24 satellites and their ground stations. GPS uses these ""man-made stars"" as reference points to calculate positions accurate to a matter of meters. In fact, with advanced forms of GPS logistics team can make measurements to better than a centimeter! These days GPS is finding its way into cars, boats, planes, construction equipment, movie making gear, farm machinery, even laptop computers. To understand exactly why it is so useful and important, we should first look at how GPS works and to understand working of GPS System first we have to understand the different segment of GPS system. GPS Technical Architecture.  1.There are at least 24 operational GPS satellites at all times  2.GPS receivers placed in vehicle will catches the signal from different satellites. It requires signal from at least 3 satellites to calculate its current positions; GPS receiver do not transmit  3.The signals, moving at the speed of light, arrive at a GPS receiver at slightly different times because some satellites are farther away than others. The distance to the GPS satellites can be determined by estimating the amount of time it takes for their signals to reach the receiver  4.After calculating the position, time and speed receiver transmits the data to the desired control room through GSM or GPRS  5.Various applications at control room do the operation of that data and finally plot the location on MAPS  6.After plotting the location on map any number of clients can see the location of vehicles using internet",http://www.trackwithus.com/,Feb 2010,Feb 2013
Radioobuddy,RadiooBuddy is android application that play online radio.This application play music from anywhere in the world where internet is present based on gprs connection. ,http://www.radioobuddy.com/,Aug 2012,Dec 2012
HRM (Human Resource Management),"Human resource management, desktop solution for company HR, to manage employee ( three different companies) track their leave and do their salary based on calculation and leave structure.",https://sites.google.com/site/shreyanshvaghela/projects/hrm,Feb 2011,Dec 2011
Sendy,"Sandy is a powerful and easy-to-use auto mail software, it can be used to send emails automatically at any time and any frequency as you expect. Sandy provides all the traditional email elements/functions and some distinctive elements/functions such as sending schedule, sending one by one, repeat sending, folder attachment supportable, set more than one sending at the same time.",https://sites.google.com/site/shreyanshvaghela/projects/sendy,Jan 2012,Apr 2012
IMS,Application to monitor inward and outward stock. Backup database and retrieve. Add/update/delete and various customized reports for purchase order generation &sales order generation Jasper report output.,https://sites.google.com/site/shreyanshvaghela/projects/ims,Feb 2010,Dec 2010
"RATH-YATRA 2010, 2011, 2012","A website that provides tracking for rath yatra's rath, police control vehicles, utility vehicles 24*7 all over the day and automatically massege authorities about the same in Ahmedabad,Gujarat.",https://sites.google.com/site/shreyanshvaghela/projects/rath-yatra,Feb 2010,Feb 2015
MIRACLE,Software for stock market trader that predicts market flow based on past values and algorithms.,https://sites.google.com/site/shreyanshvaghela/projects/miracle,May 2011,Mar 2012
CMS (CAB MANAGEMENT SYSTEM),"A Java desktop solution, that book cab based on customer call, assign driver and complete job track & reporting.",https://sites.google.com/site/shreyanshvaghela/projects/cms,Nov 2011,Oct 2012
IMMS (Incumbency Management And Messaging System),Incumbency Management And Messaging System Software to provide messaging to group of user on occurrences of particular event. ,https://sites.google.com/site/shreyanshvaghela/projects/imms,Mar 2010,Nov 2010
STLS,"Skill Used: J2SE, Swing, JDBC , HIBARNATE 3.0, Jasper Reports 3.9, SQL Designation: Sr. Software Engineer Description: Soil Testing Laboratory Software) Software to store and report records. Role: Entire project GUI with Insert, Update and delete records that are saved in database. Report module with customization. Bug tracking, testing and bug fixing.",http://apmcunjha.com/,Jan 2010,May 2010
STARSYS,"Skill Used: Qt Creator, C++, Mysql5.1 Designation: Jr. Software Engineer Description: (storage and retrieval system) (GIS) (C++) Software to store and report records. Role: Saving module: To store satellite image parameter in to databases with image thumbnail.  Query module: To develop non-spatial and spatial query module.  Plotting Module: To plot image on the map as user select image after particular query done. Database user access module: To manage user access to database and to read vector & raster file.",http://www.hitachiconsulting.com/,Nov 2008,Sep 2009
GEPSY,"Skill Used: Qt Creator, C++, Mysql5.1 Designation: Jr. Software Engineer Description: (Geo Processing System) (C++) (GIS) Software to store and analysis on records and save to local system. Role:  Read Raster and vector files. Generate image, after analysis and algorithms applied successfully. Using Java Advanced Imaging provide image saving to local system. To make raw file reader & to do unit testing as well as function testing of GePSy.  ",,Jun 2009,Sep 2009
CIDM (Customer Information Database Management System),"Designation: Jr. Software Engineer Duration: Nov 2008 To Mar 2009 Description: Customer Information Database Management System. Role: In House project developed in C++ to manage customers details like name, address, phone no etc. Fully customized add, update, delete and search functionality available. Code & test insert update and delete modules. Front end qt GUI designing and back end MYSQL database operations. Analyze, develop and implement testing procedures, programming and documentation. Simple inventory system with user data saved to database. Perform coding data acquisition routines and access issues.",,Jun 2009,Sep 2009
GPS Based Vehicle Tracking for Mobile,"This website is mainly used for vehicle tracking. It provides live track, speed. ROLE: Project Development and Designing: team size (3) Involved in the system analysis, database design and implementation, Screen Design, Programming ",,Apr 2012,Feb 2015
Recomendation Engine,"The main goal of this machine learning project is to build a recommendation engine that recommends movies to users. This R project is designed to help you understand the functioning of how a recommendation system works. We will be developing an Item Based Collaborative Filter. By the end of this tutorial, you will gain experience in implementing your R, Data Science, and Machine learning skills in a real-life project.",https://github.com/theshreyansh/Movie_Recomendation_Engine,Feb 2019,Jul 2019
